Amount,Date,Expense_Category,Description
36.0,2023-03-01,Charity,Save the Children
115.0,2023-03-02,Disposable,NVASA registration
100.0,2023-03-03,Car,Monthly Parking
141.29500000000002,2023-03-03,Utilities,Monthly Utilities
1307.995,2023-03-03,Rent,Monthly Rent
50.0,2023-03-03,Charity,Autism Spectrum Disorder Foundation
41.75,2023-03-04,Disposable,Lyft to Chung's wedding
13.0,2023-03-05,Disposable,Chipotle
9.99,2023-03-07,Entertainment,ESPN+
46.82,2023-03-10,Disposable,Quincy Hall
12.92,2023-03-10,Disposable,Uber home
10.0,2023-03-10,Disposable,Lyft to Quincy Hall
26.49,2023-03-11,Disposable,Target - Plunger
223.99,2023-03-09,Disposable,Costco
9.99,2023-03-09,Entertainment,Spotify
4.99,2023-03-12,Entertainment,Peacock Premium
170.0,2023-03-13,Disposable,Cat adoption fee
35.0,2023-03-13,Disposable,Cat food
60.0,2023-03-13,Disposable,Cat toys
15.49,2023-03-14,Entertainment,Netflix
20.07,2023-03-18,Disposable,Velvet Taco
33.91,2023-03-17,Car,Gas
98.11,2023-03-17,Disposable,Midwood Smokehouse
70.36,2023-03-17,Disposable,Yume Ramen and Sushi Bar
25.0,2023-03-19,Disposable,Cat sitting
10.68,2023-03-19,Disposable,Rhino Market & Deli
2.99,2023-03-20,Entertainment,OneDrive
4.04,2023-03-17,Disposable,Sheetz
20.0,2023-03-20,Charity,Wear Blue
11.96,2023-03-21,Disposable,Fooda
14.0,2023-03-23,Disposable,Cat Water Filter
200.0,2023-03-23,Disposable,Chung wedding gift
34.95,2023-03-22,Car,Gas
36.0,2023-02-01,Charity,Save the Children
460.0,2023-02-01,Disposable,Colorado expenses
100.0,2023-02-02,Car,Monthly Parking
112.525,2023-02-02,Utilities,Monthly Utilities
1308.0149999999999,2023-02-02,Rent,Monthly Rent
9.99,2023-02-03,Entertainment,ESPN+
3.02,2023-02-03,Disposable,Ice
27.2,2023-02-04,Disposable,McDonalds
22.1,2023-02-07,Disposable,Tonic
13.0,2023-02-07,Disposable,Taco Bell
4.99,2023-02-07,Entertainment,Peacock
8.04,2023-02-07,Disposable,Amazon
22.1,2023-02-08,Disposable,Tonic
9.99,2023-02-09,Entertainment,Spotify
163.78,2023-02-09,Disposable,Costco
20.0,2023-02-10,Car,Safety Inspection
866.0,2023-02-10,Gym,Movement Annual Membership Fee
100.0,2023-02-11,Disposable,VA Bday Reimbursement
25.0,2023-02-12,Disposable,Super Bowl Pizza
39.21,2023-02-12,Car,Gas
15.49,2023-02-14,Entertainment,Netflix
239.98000000000002,2023-02-14,Disposable,RunDisney Registration
250.0,2023-02-17,Disposable,L'Ardente
37.0,2023-02-17,Disposable,CVS - Wrist Brace
14.0,2023-02-17,Disposable,Flowers
50.0,2023-02-16,Entertainment,Tangle News
50.0,2023-02-18,Car,EZ-Pass
247.56,2023-02-19,Disposable,New iPhone
9.53,2023-02-19,Disposable,Guiness
39.519999999999996,2023-02-18,Disposable,Fords Fish Shack
40.0,2023-02-20,Utilities,Verizon
2.99,2023-02-20,Entertainment,OneDrive
25.0,2023-02-20,Entertainment,FuboTV
103.0,2023-02-20,Disposable,TurboTax
9.0,2023-02-21,Disposable,Fooda
25.63,2023-02-23,Disposable,Gettysburg National Golf
31.64,2023-02-22,Disposable,Taverna
13.0,2023-02-25,Disposable,Chipotle
34.47,2023-02-25,Car,Gas
200.0,2023-02-23,Disposable,Weed
74.0,2023-02-26,Disposable,Giant
80.0,2023-02-28,Car,Towing
19.99,2023-02-20,Entertainment,Nintendo Online
5.08,2023-01-01,Disposable,Sheetz
